#Type	Work	Collection	SNo	Name	Date	Dedication	Category	RhymeScheme	Description
poems	infused	swan	1	Amore	March 2004	God	Spirit	Prose	An early poem and a wakeup for us all to see the beauty in life, overcome worry and live infused with love.
poems	infused	swan	2	Thank You	26 Mar 2016	God	Gratitude	Blank Verse	Inspired to write again after 3 years, this one simply shows gratitude to the Lord for things we behold.
poems	infused	swan	3	Sara	13 Apr 2016	Women	Romance	Blank Verse	Thought of in November, I wrote this to 4 women I loved greatly as if as one.
poems	infused	swan	4	Wishes	10 Nov 2016	Gypsy	Birthdays	Prose	Birthday wishes for a good friend of mine. I usually send this out on birthdays along with a fresh poem.
poems	infused	swan	5	Sandra	10 Nov 2016	Sandra	Romance	Blank Verse	Another early romantic poem (they get better with time).
poems	infused	swan	6	Mother	12 Nov 2016	Uma	Family	Blank Verse	A tribute to mothers, especially mine - "lights that guide us through the dark".
poems	infused	swan	7	Son	19 Nov 2016	Self	Family	Blank Verse	On myself, this tells a personal tale of my youth.
poems	infused	swan	8	Sasha	15 Dec 2016	Asha P	Gratitude	Blank Verse	Dedicated to 5 of my school teachers, the poem ends with me yearning to join them behind the blackboard someday.
poems	infused	swan	9	Ebbs and Flows	23 Dec 2016	God	Spirit	Blank Verse	A plea to one and all to have enthusiasm in life to "flow through our niggles" and be "full of joy" despite the ups and downs.
poems	infused	swan	10	Infants	31 Dec 2016	Uma	Family	Blank Verse	About babies and how they can soothe our hearts. For my mother Uma.
poems	infused	swan	11	Hope	31 Dec 2016	God	Spirit	Blank Verse	A message that Hope shalt spring, eternal in the human breast - and that we "live eternal in God's light of love".
poems	infused	swan	12	Brother	31 Dec 2016	Vichu	Family	Blank Verse	For my dearest friend whom I see like a brother.
poems	infused	swan	13	Cousins	14 Jan 2017	Sama	Family	Blank Verse	A plea to cousins to treat each other well and accumulate good memories of "mischievous deeds and healthy fun".
poems	infused	swan	14	Mentors	15 Jan 2017	Jayan	Gratitude	Blank Verse	For mentors who "push the boundaries of our abilities", a "chain of nurturers showing us the way".
poems	infused	swan	15	Nature	22 Jan 2017	God	Nature	Blank Verse	Beginning with romantic thoughts like "standing under a waterfall beside one you love", this poem ends with a call to have "deep wells of love, for the plants and animals that share this planet".
poems	infused	swan	16	Muse Male	22 Jan 2017	Sama	Romance	Blank Verse	Love, from a woman's eyes, for her man "whose graceful nature and toil, kept us in abundance and comfort".
poems	infused	swan	17	Doing	4 Feb 2017	God	Devotional	Blank Verse	About seeing life as a constant effort to Serve God through benevolence to his creatures.
poems	infused	swan	18	Friends	8 Feb 2017	Shobi	Friends	Consecutive	For a dear friend who I "thank for being steadfast in love for those are the very things - that makes us feel not like paupers but as kings".
poems	infused	swan	19	Love	11 Feb 2017	MSA	Spirit	Blank Verse	An earnest plea to love one another "for it is only when we express love that we become closer to our true self".
poems	infused	swan	20	Teeming With Life	12 Mar 2017	MSA	Imagine	Blank Verse	How the world can be if Builders (Change Agents) were all given a chance to "reshape that stream of activity around us until the possibility of greatness is achieved".
poems	infused	swan	21	The Path to God	12 Mar 2017	God	Devotional	Blank Verse	Describes God and the divinity within. A path to "guide the traveller to his journey's end".
poems	infused	swan	22	Dauntless	18 Mar 2017	Richard Bach	Famous People	Blank Verse	For Bethany Nikka Ferret, character in Curious Lives, a bold, young and dashing adventurer - captain of the sea rescue boat - Resolute.
poems	infused	swan	23	Perfection	19 Mar 2017	MSA	Spirit	Consecutive	Another poem in the Spirit series, Perfection tells us how life can be when we are inspired - "deep seated in our mind it liberates".
poems	infused	swan	24	Acres Wild	19 Mar 2017	God	Nature	Consecutive	Named for the Jethro Tull song, this poem tells of forests that "give a weary traveller rest", - those of us who "see acres wild, filled with the wonder of a child".
poems	infused	swan	25	A Friendly Nod	25 Mar 2017	Gary	Spirit	Consecutive	America - On looking back to my time in Bellevue in Nov 2013 and how I was touched by so many people - receiving both positivity and encouragement.
poems	infused	swan	26	Wistfulness	25 Apr 2017	Tracey	Romance	Alternate	Introducing Tracey (future imagined lover) - a character from Wilbur Smith's Diamond Hunters.
poems	infused	swan	27	Touched	3 Jun 2017	God	Devotional	Consecutive	One more of those devotional poems that talks of life, with "experiences so engraved in our minds - emotions that linger in all shapes and kinds".
poems	infused	swan	28	Cycle	3 Jun 2017	God	Spirit	Consecutive	Begins with a mention of the Indian God of Death - Yama, this one talks of the cycles of life and death - each one ending with a rebirth
poems	infused	swan	29	Inspire	3 Jun 2017	Uma	Family	Consecutive	For my mother - "with her at my side, the battle of life to fight, saves me from danger, my anchor in any plight"
poems	infused	swan	30	Eros	19 Jun 2017	Tracey	Romance	Consecutive	For Tracey again, this one ends with - "soaring on cupids wings, the couple would reflect - years later, on that love - so pristine and perfect".
poems	infused	swan	31	Mademoiselle	23 Jun 2017	Tracey	French	Blank Verse	A romantic poem in French about how "my days are incomplete without you - the nights without colour and alone".
poems	infused	swan	32	Tether	15 Jul 2017	Srividya	Romance	Consecutive	Another fun romantic poem. This one sung by a friend while the ink was still drying.
poems	infused	swan	33	Sivam	23 Jul 2017	Vasantha	Family	Consecutive	Devotional - For Mahakala and Mahakali (the Primal Aspects) - Lord and Queen of TIME. "reveal themselves they do to a few - seers and saints in every hue - to instill in us a sense of direction - to stay the course".
poems	infused	swan	34	Once	26 Jul 2017	Sandra	Romance	Blank Verse	Now the memories are a tad painful... Here's to the love that never was! "spent in spirit but not wistful - for the next time I shall savour with care - every moment that two lovers can share" Did I even savour the next one?
poems	infused	swan	35	Light	26 Jul 2017	Sandra	Romance	Consecutive	I think of  those days I was rapt - "so deep the bond we lovingly forged - feel you beside me our lips engorged".
